Move:  Attack Order | BUG | EOT 0 | 2 | DB9 | PHYSICAL |  6, 1 Target |  Attack Order is a Critical Hit on 18+. |
Move:  High Jump Kick | FIGHTING | EOT 0 | 3 | DB13 | PHYSICAL |  Melee, 1 Target, Dash, Reckless |  If High Jump Kick misses, the user loses Hit Points equal to 1/4th of their Max Hit Points. A failure to hit due to a Move with the Shield keyword does not count as a miss. This Move cannot be used if Gravity is in effect. |
Move:  Jump Kick | FIGHTING | AW 0 | 3 | DB10 | PHYSICAL |  Melee, 1 Target, Dash, Reckless |  If Jump Kick misses, the user loses Hit Points equal to 1/4th of their Max Hit Points. A failure to hit due to a Move with the Shield keyword does not count as a miss. This Move cannot be used if Gravity is in effect. |
Move:  Karate Chop | FIGHTING | AW 0 | 2 | DB5 | PHYSICAL |  Melee, 1 Target |  Karate Chop is a Critical Hit on 17+. |
Move:  Low Kick | FIGHTING | EOT 0 | 2 | NON | PHYSICAL |  Melee, 1 Target, Weight Class |  Low Kick’s  |
Move:  Low Sweep | FIGHTING | EOT 0 | 2 | DB7 | PHYSICAL |  Melee, 1 Target |  Lowers the Target’s Speed 1 Combat Stage. |
Move:  Mach Punch | FIGHTING | AW 0 | 2 | DB4 | PHYSICAL |  Melee, 1 Target, Priority |  None |
Move:  Mat Block | FIGHTING | SCENE 0 | 0 | NON | STATUS |  Self, Interrupt, Shield, Trigger |  If the user or an adjacent ally is hit by a damaging attack, the user may use Mat Block. The attack instead does not hit any targets, and it deals no damage and no has effects. You may only use Mat Block during the first round of an encounter. |
Move:  Power-Up Punch | FIGHTING | AW 0 | 2 | DB4 | PHYSICAL |  Melee, 1 Target |  If Power-Up Punch successfully hits a target, the user’s Attack is raised by +1 Combat Stage. |
Move:  Quick Guard | FIGHTING | SCENE 0 | 0 | NON | STATUS |  Self, Interrupt, Shield, Trigger |  If the user or an adjacent ally is targeted by a Priority or Interrupt Attack, Quick Guard may be declared as an Interrupt, causing the triggering attack to have no effect. |
Move:  Revenge | FIGHTING | EOT 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target, Priority (Limited) |  When declaring Revenge, the user does nothing and may not Shift. At the end of the round, the user may shift and use Revenge. If the target has damaged the user this round, Revenge has a  |
Move:  Reversal | FIGHTING | EOT 0 | 2 | DB7 | PHYSICAL |  Melee, 1 Target |  For each Injury the user has, Reversal’s  |
Move:  Rock Smash | FIGHTING | AW 0 | 2 | DB4 | PHYSICAL |  Melee, 1 Target |  Rock Smash lowers the target’s Defense 1 Combat Stage on 17+. |
Move:  Rolling Kick | FIGHTING | AW 0 | 4 | DB6 | PHYSICAL |  Melee, 1 Target |  Rolling Kick Flinches the target on 15+. |
Move:  Sacred Sword | FIGHTING | EOT 0 | 0 | DB8 | PHYSICAL |  Melee, 1 Target |  Sacred Sword cannot miss. |
Move:  Secret Sword | FIGHTING | AW 0 | 2 | DB8 | SPECIAL |  Melee, 1 Target |  When calculating damage, the target subtracts their Defense from Secret Sword’s damage instead of their Special Defense. Secret Sword is still otherwise Special (Special Evasion is used to avoid it, Mirror Coat can reflect it, etc.). |
Move:  Seismic Toss | FIGHTING | SCENE 2 | 2 | NON | PHYSICAL |  Melee, 1 Target |  The target loses Hit Points equal to the level of Seismic Toss’ user. |
Move:  Sky Uppercut | FIGHTING | AW 0 | 4 | DB9 | PHYSICAL |  Melee, 1 Target |  Sky Uppercut may be used as an Interrupt when against a target initiating Bounce, Fly, or Sky Drop to allow the user to Shift and use Sky Uppercut. If Sky Uppercut successfully hits its target, the triggering Move fails (though the target may take their next turn normally). |
Move:  Storm Throw | FIGHTING | EOT 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target |  If Storm Throw hits, it is a Critical Hit. |
Move:  Submission | FIGHTING | AW 0 | 6 | DB8 | PHYSICAL |  Melee, 1 Target, Recoil 1/3 |  On an accuracy roll of 15+, the target is Tripped. |
Move:  Superpower | FIGHTING | SCENE 2 | 2 | DB12 | PHYSICAL |  Melee, 1 Target, Dash, Reckless |  Superpower lowers the user’s Attack and Defense by 1 Combat Stage each. |
Move:  Triple Kick | FIGHTING | AW 0 | 3 | NON | PHYSICAL |  Melee, 1 Target |  Make three attacks with Triple Kick. If you hit once, Triple Kick has a DB of 1. If you hit two times, Triple Kick has a DB of 3. If you hit three times, Triple Kick has a DB of 6. |
Move:  Vacuum Wave | FIGHTING | AW 0 | 2 | DB4 | SPECIAL |  4, 1 Target, Priority, Aura |  None |
Move:  Vital Throw | FIGHTING | EOT 0 | 0 | DB7 | PHYSICAL |  Melee, 1 Target, Reaction, Trigger |  If the user is targeted by a Melee attack and has not yet taken a turn this round, the user may declare Vital Throw. After the triggering attack is resolved, the user may use Vital Throw against the triggering foe as a Reaction. Vital Throw cannot miss. |
Move:  Wake-Up Slap | FIGHTING | AW 0 | 2 | DB5 | PHYSICAL |  Melee, 1 Target |  If the target is Asleep, Wake-Up Slap has a  |
Move:  Blast Burn | FIRE | DAILY 2 | 4 | DB15 | SPECIAL |  Close Blast 3, Smite, Exhaust |  None |
Move:  Blaze Kick | FIRE | EOT 0 | 4 | DB9 | PHYSICAL |  Melee, 1 Target |  Blaze Kick Burns the target on 19+ and is a Critical Hit on 18+. |
Move:  Blue Flare | FIRE | SCENE 2 | 5 | DB13 | SPECIAL |  10, 1 Target, Smite |  Blue Flare Burns the target on 17+. |
Move:  Burn Up | FIRE | DAILY 2 | 2 | DB13 | SPECIAL |  Burst 1, Smite |  Until the end of the encounter, the user loses its Fire-Type. Pure Fire-Types instead become Normal-Type. |
Move:  Ember | FIRE | AW 0 | 2 | DB4 | SPECIAL |  4, 1 Target |  Ember Burns the target on 18+. |
Move:  Eruption | FIRE | DAILY 0 | 4 | DB15 | SPECIAL |  Burst 1* |  For each 10% of Hit Points the user is missing, Eruption’s  |
Move:  Fiery Dance | FIRE | EOT 0 | 2 | DB8 | SPECIAL |  4, 1 Target, Dance |  If Fiery Dance successfully hits a foe, it raises the user’s Special Attack by 1 Combat Stage on Even-Numbered Rolls. |
Move:  Fire Blast | FIRE | SCENE 2 | 4 | DB11 | SPECIAL |  6, 1 Target, Smite |  Fire Blast burns the target on 19+. |
Move:  Fire Fang | FIRE | AW 0 | 3 | DB7 | PHYSICAL |  Melee, 1 Target |  Fire Fang Burns or Flinches on 18-19 during Accuracy Check; flip a coin to determine whether the foe gets Burned or Flinches. On 20 during Accuracy Check, the foe is Burned and Flinches. |
Move:  Fire Lash | FIRE | EOT 0 | 2 | DB8 | PHYSICAL |  2, 1 Target |  The target’s Defense is lowered by 1 Combat Stage. |
Move:  Fire Pledge | FIRE | SCENE 0 | 2 | DB8 | SPECIAL |  6, 1 Target, Pledge |  If an ally uses Grass Pledge or Water Pledge, you may use Fire Pledge as Priority (Advanced) immediately after their turn to target the same foe. If used in conjunction with Grass Pledge, Fire Hazards are created in a Burst 1 around the target. If used in conjunction with Water Pledge, a Rainbow is created that lasts for 5 rounds. Consult the Pledge keyword for additional details. |
Move:  Fire Punch | FIRE | AW 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target |  Fire Punch Burns the target on 19+ during Accuracy Check. |
Move:  Fire Spin | FIRE | SCENE 2 | 2 | DB4 | SPECIAL |  3, 1 Target |  The target is put in a Vortex. |
Move:  Flame Burst | FIRE | AW 0 | 2 | DB7 | SPECIAL |  6, 1 Target |  Any Trainers or Pokémon cardinally adjacent to the target lose 5 Hit Points. |
Move:  Flame Charge | FIRE | AW 0 | 2 | DB5 | PHYSICAL |  Melee, 1 Target. Dash |  Raise the user’s Speed 1 Combat Stage. |
Move:  Flame Wheel | FIRE | AW 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target. Dash |  Flame Wheel Burns the target on 19+. |
Move:  Flamethrower | FIRE | EOT 0 | 2 | DB9 | SPECIAL |  4, 1 Target |  Flamethrower Burns the target on 19+. |
Move:  Flare Blitz | FIRE | SCENE 2 | 2 | DB12 | PHYSICAL |  Melee, 1 Target, Dash, Recoil 1/3 |  Flare Blitz Burns the target on 19+. |
Move:  Fusion Flare | FIRE | SCENE 2 | 2 | DB10 | SPECIAL |  8, 1 Target, Smite |  If Fusion Bolt was used this round or last round by any participant of the encounter, Fusion Flare has its  |
Move:  Heat Crash | FIRE | EOT 0 | 2 | DB4 | PHYSICAL |  Melee, 1 Target, Dash, Weight Class |  For each weight class the user is above the target, increase Heat Crash’s  |
Move:  Heat Wave | FIRE | SCENE 2 | 4 | DB10 | SPECIAL |  Close Blast 3, Smite |  Heat Wave Burns all Legal Targets on 18+. |
Move:  Incinerate | FIRE | AW 0 | 2 | DB6 | SPECIAL |  Line 3 |  If a target is holding a Held Item or Main or Off-Hand item, they must either drop it immediately or lose a Tick of Hit Points. This may only cause a target to lose at most one Tick of Hit Points, no matter how many items they were holding. |
Move:  Inferno | FIRE | AW 0 | 9 | DB10 | SPECIAL |  6, 1 Target |  Inferno Burns the target. Inferno ignores the target’s Evasion if there are no other combatants or Rough or Blocking Terrain within 2 meters of the target. |
Move:  Lava Plume | FIRE | EOT 0 | 2 | DB8 | SPECIAL |  Burst 1 |  Lava Plume burns all targets on 16+. |
Move:  Magma Storm | FIRE | SCENE 0 | 6 | DB10 | SPECIAL |  6, 1 Target |  The target is put in a Vortex; this effect occurs even if Magma Storm misses its target. |
Move:  Mind Blown | FIRE | DAILY 0 | 2 | DB15 | SPECIAL |  6, Ranged Blast 3, Smite |  The user’s Hit Points are reduced by 50% of their full Hit Point value. This Hit Point loss cannot be prevented or reduced in any way. |
Move:  Mystical Fire | FIRE | EOT 0 | 2 | DB7 | SPECIAL |  6, 1 Target |  Mystical Fire lowers the target’s Special Attack by 1 Combat Stage. |
Move:  Overheat | FIRE | SCENE 0 | 4 | DB13 | SPECIAL |  8, Ranged Blast 3, Smite, Reckless |  Lower the user’s Special Attack 2 Combat Stages after damage. |
Move:  Sacred Fire | FIRE | EOT 0 | 3 | DB10 | PHYSICAL |  6, 1 Target |  Sacred Fire Burns the target on Even-Numbered Rolls. |
Move:  Shell Trap | FIRE | SCENE 0 | 2 | DB15 | SPECIAL |  Melee, 1 Target, Interrupt, Trigger |  If the user is hit by a Melee attack, they may use Shell Trap as an Interrupt. |
Move:  Searing Shot | FIRE | EOT 0 | 2 | DB10 | SPECIAL |  Burst 1 |  Searing Shot Burns all targets on 15+. |
Move:  Sunny Day | FIRE | DAILY 2 | 0 | NON | STATUS |  Field, Weather |  The weather becomes Sunny for 5 rounds. While Sunny, Fire-Type Attacks gain a +5 bonus to Damage Rolls, and Water-Type Attacks suffer a -5 Damage penalty. |
Move:  V-Create | FIRE | DAILY 0 | 5 | DB18 | PHYSICAL |  Melee, 1 Target, Smite, Reckless |  Lower the user’s Defense, Special Defense, and Speed by 1 CS each. |
Move:  Will-O-Wisp | FIRE | EOT 0 | 5 | NON | STATUS |  6, 1 Target |  The target is Burned. |
Move:  Acrobatics | FLYING | EOT 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target, Dash |  If the user is not holding an item, Acrobatics instead has a  |
Move:  Aerial Ace | FLYING | EOT 0 | 0 | DB6 | PHYSICAL |  Melee, 1 Target |  Aerial Ace cannot miss. |
Move:  Aeroblast | FLYING | DAILY 0 | 3 | DB10 | SPECIAL |  Line 6 |  Aeroblast is a Critical Hit on an Even-Numbered Roll. |
Move:  Air Cutter | FLYING | AW 0 | 2 | DB6 | SPECIAL |  Cone 2 |  Air Cutter is a Critical Hit on 18+. |
Move:  Air Slash | FLYING | EOT 0 | 2 | DB8 | SPECIAL |  6, 1 Target |  Air Slash Flinches the target on 15+. |
Move:  Beak Blast | FLYING | SCENE 2 | 2 | DB10 | PHYSICAL |  6, 1 Target, Priority |  Beak Blast must be declared at the start of the round. If the user is hit by a Melee attack this round, their attacker is Burned. At the end of the round, the user may shift and attack with Beak Blast. |
Move:  Bounce | FLYING | SCENE 2 | 4 | DB9 | PHYSICAL |  Melee, 1 Target, Dash, Full Action |  The user first Shifts, gaining a +1 Bonus to Movement Speed and to their Jump Capabilities. After the user Shifts, they may attack with Bounce. The target is Paralyzed on 16+, and becomes Vulnerable until the end of its next turn. |
Move:  Brave Bird | FLYING | SCENE 2 | 2 | DB12 | PHYSICAL |  Melee, 1 Target, Dash, Push, Recoil 1/3 |  The target is pushed 2 meters directly away from the user. |
Move:  Chatter | FLYING | AW 0 | 2 | DB7 | SPECIAL |  4, 1 Target, Sonic |  Chatter confuses the target on 16+. |
Move:  Defog | FLYING | DAILY 2 | 0 | NON | STATUS |  Field, Weather |  The Weather becomes Clear, and all Blessings, Coats, and Hazards are destroyed. Clear Weather is the default weather, conferring no innate bonuses or penalties of any sort. |
Move:  Dragon Ascent | FLYING | SCENE 2 | 2 | DB12 | PHYSICAL |  Melee, 1 Target, Dash |  The user’s Defense and Special Defense are each lowered by -1 Combat Stage. |
Move:  Drill Peck | FLYING | AW 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target, Dash |  None |
Move:  Feather Dance | FLYING | EOT 0 | 2 | NON | STATUS |  Burst 1, Friendly, Dance |  All legal targets have their Attack lowered 2 Combat Stages. |
Move:  Fly | FLYING | AW 0 | 3 | DB8 | PHYSICAL |  Melee, 1 Target, Dash, Set-Up |  The user is moved up 25 meters into the air.->The user may shift twice while in the air, using their overland or sky speed, and then comes down next to a legal target, and attacks with Fly. |
Move:  Gust | FLYING | AW 0 | 2 | DB4 | SPECIAL |  4, 1 Target |  If the target is airborne as a result of Fly or Sky Drop, Gust can hit them, ignoring Range, and has a of 8 (2d8+10 / 19) instead. |
Move:  Hurricane | FLYING | SCENE 2 | 7 | DB11 | SPECIAL |  Burst 1, Smite |  Hurricane Confuses its target on 15+. If the target is in Sunny Weather, Hurricane’s Accuracy Check is 11. If the target is in Rainy Weather, Hurricane cannot miss. If the target is airborne as a result of Fly or Sky Drop, Hurricane cannot miss. |
Move:  Mirror Move | FLYING | SCENE 2 | 0 | NON | STATUS |  6, 1 Target, Illusion |  Use the Move the target has used on their last turn. You may choose new targets for the Move. The Move gains the Illusion keyword. Mirror Move cannot miss. |
Move:  Oblivion Wing | FLYING | DAILY 0 | 2 | DB8 | SPECIAL |  Melee, 1 Target |  The user gains Hit Points equal to Oblivion Wing’s Damage Roll. |
Move:  Peck | FLYING | AW 0 | 2 | DB4 | PHYSICAL |  Melee, 1 Target |  None |
Move:  Pluck | FLYING | AW 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target |  Pluck takes the target’s Held Item or Accessory Slot Item and attaches it to Pluck’s user, if the user is not holding anything. |
Move:  Roost | FLYING | DAILY 2 | 0 | NON | STATUS |  Self, Healing |  The user regains Hit Points equal to half of its full Hit Points. If the user is a Flying Type, it loses the Flying Type until the start of their next turn. Pure Flying Types instead become Normal Types. |
Move:  Sky Attack | FLYING | SCENE 2 | 4 | DB14 | PHYSICAL |  Melee, Pass, Set-Up, Full Action |  The user is moved up 25 meters into the air.->The user may shift until they are next to a legal target in the encounter. They may then shift again, and pass through legal targets, to attack with Sky Attack. Sky Attack Flinches a target on 17-20 during Accuracy Check. |
Move:  Sky Drop | FLYING | SCENE 2 | 3 | DB6 | PHYSICAL |  Melee, 1 Target, Set-Up |  Make Sky Drop’s Accuracy Check. If the user hits, the user and target are moved 25 meters into the air. The target forfeits their next turn and cannot Shift or take actions until Sky Drop is resolved.->Shift while in the air, and lower both the user and the target heights back to the ground. Then apply Sky Drop’s damage. If the target has a Sky or Levitate Speed, Sky Drop fails to deal damage. If the user is Fainted after the Set-Up but before the Resolution, the target falls to the ground and takes damage as if Sky Drop had a  |
Move:  Tailwind | FLYING | SCENE 0 | 0 | NON | STATUS |  Field |  For the remainder of the encounter, all allied trainers and Pokémon gain +5 to their Initiative. Multiple instances of Tailwind cannot stack. |
Move:  Wing Attack | FLYING | AW 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target |  None |
Move:  Astonish | GHOST | AW 0 | 2 | DB3 | PHYSICAL |  Melee, 1 Target |  Astonish Flinches the target on 15+. Once per scene, if the target is unaware of the user’s presence, Astonish automatically Flinches the target. |
Move:  Confuse Ray | GHOST | SCENE 2 | 2 | NON | STATUS |  6, 1 Target |  The target is Confused. |
Move:  Curse | GHOST | NON 1 | 0 | NON | STATUS |  Self |  If the user is not a Ghost Type, Curse has a Frequency of EOT, and when used the user lowers its Speed by -1 Combat Stage, but raises Attack and Defense by +1 Combat Stage each. If the user is a Ghost Type, Curse has a Frequency of Scene, and when used the user loses 1/3rd of their Max Hit Points and a target Pokémon or Trainer within 8 meters of the user becomes Cursed. This Hit Point loss cannot be prevented in any way. |
Move:  Destiny Bond | GHOST | SCENE 0 | 0 | NON | STATUS |  Burst 10, Friendly, Swift Action |  All enemy targets in the burst become Bound to the user until the end of the user’s next turn. If a Bound target causes the user to Faint through a Damaging Attack, the Bound target immediately faints after their attack is resolved. |
Move:  Grudge | GHOST | DAILY 0 | 0 | NON | STATUS |  6, 1 Target, Interrupt, Trigger |  You may use Grudge as an Interrupt when a Damaging Attack causes the user to faint. Grudge is activated as a Free Action (does not take up a Command). The attack is resolved as usual, and the user Faints. The attacker that caused the user to Faint may only use At-Will and EOT frequency moves for the remainder of the Scene. |
Move:  Hex | GHOST | EOT 0 | 2 | DB7 | SPECIAL |  6, 1 Target |  Once a Scene, if Hex’s target has a Status Affliction, you may have Hex’s  |
Move:  Lick | GHOST | AW 0 | 2 | DB3 | PHYSICAL |  Melee, 1 Target |  Lick Paralyzes the target on 15+ during Accuracy Check. |
Move:  Moongeist Beam | GHOST | SCENE 2 | 2 | DB10 | SPECIAL |  Line 6 |  This Move ignores any Abilities that would cause it to fail or miss, such as Dodge or Wonder Guard; those Abilities cannot be activated in response to Moongeist Beam. |
Move:  Night Shade | GHOST | SCENE 2 | 2 | NON | SPECIAL |  8, 1 Target |  The target loses Hit Points equal to the level of Night Shade’s user. Do not apply weakness or resistance. Do not apply stats. |
Move:  Nightmare | GHOST | SCENE 2 | 2 | NON | STATUS |  Melee, 1 Target |  Nightmare can only hit Legal Targets that are Asleep. The target gains Bad Sleep. |
Move:  Ominous Wind | GHOST | EOT 0 | 2 | DB6 | SPECIAL |  6, 1 Target, Spirit Surge |  On 19+, the user has each of its stats raised by +1 Combat Stage. |
Move:  Phantom Force | GHOST | SCENE 2 | 2 | DB9 | PHYSICAL |  Melee, 1 Target, Set-Up |  The user is removed from the field, and their turn ends.->Phantom Force’s user appears adjacent to any legal target on the field, ignoring Movement Capabilities, and then uses Phantom Force’s attack. Phantom Force cannot be avoided by Moves with the Shield Keyword, the Dodge Ability, or similar effects, and Intercepts may not be attempted in response. |
Move:  Shadow Ball | GHOST | EOT 0 | 2 | DB8 | SPECIAL |  8, 1 Target |  Shadow Ball lowers the foe’s Special Defense 1 Combat Stage on 17+. |
Move:  Shadow Bone | GHOST | EOT 0 | 2 | DB9 | PHYSICAL |  Melee, 1 Target |  The target’s Defense is lowered by 1 Combat Stage on a 17+. |
Move:  Shadow Claw | GHOST | EOT 0 | 2 | DB7 | PHYSICAL |  Melee, Pass |  Shadow Claw is a Critical Hit on 18+. |
Move:  Shadow Force | GHOST | DAILY 3 | 2 | DB12 | PHYSICAL |  Melee, 1 Target, Set-Up |  The user is removed from the field, and their turn ends.->Shadow Force’s user appears adjacent to any legal Target, ignoring Movement Capabilities, and then uses Shadow Force’s attack. Shadow Force cannot be avoided by Moves with the Shield Keyword, the Dodge Ability, or similar effects, and Intercepts may not be attempted in response. |
Move:  Shadow Punch | GHOST | EOT 0 | 0 | DB6 | PHYSICAL |  6, 1 Target |  Shadow Punch cannot miss. |
Move:  Shadow Sneak | GHOST | AW 0 | 2 | DB4 | PHYSICAL |  Melee, 1 Target, Priority |  None |
Move:  Spectral Thief | GHOST | SCENE 0 | 2 | DB9 | PHYSICAL |  Melee, 1 Target |  Before rolling damage, transfer all Combat Stages on the target to the user. |
Move:  Spirit Shackle | GHOST | EOT 0 | 2 | DB8 | PHYSICAL |  8, 1 Target |  The Target is Trapped for 2 rounds. |
Move:  Spite | GHOST | SCENE 0 | 0 | NON | STATUS |  6, 1 Target |  Spite may be used as a Free Action that does not take up a Command whenever the user is hit by a Move. That Move becomes Disabled for the attacker. |
Move:  Trick-or-Treat | GHOST | DAILY 0 | 2 | NON | STATUS |  6, 1 Target |  The target gains the Ghost Type in addition to its other Types for 5 turns. |
Move:  Absorb | GRASS | AW 0 | 2 | DB2 | SPECIAL |  4, 1 Target |  After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target. |
Move:  Aromatherapy | GRASS | SCENE 0 | 0 | NON | STATUS |  Burst 1, Healing |  All allies in the burst are cured of one status condition of their choice. |
Move:  Bullet Seed | GRASS | EOT 0 | 4 | DB3 | PHYSICAL |  6, 1 Target, Five Strike |  None |
Move:  Cotton Guard | GRASS | SCENE 0 | 0 | NON | STATUS |  Self |  Raise the user’s Defense 3 Combat Stages. |
Move:  Cotton Spore | GRASS | EOT 0 | 2 | NON | STATUS |  Burst 1, Powder |  All Legal Targets have their Speed lowered 2 Combat Stages. |
Move:  Energy Ball | GRASS | EOT 0 | 2 | DB9 | SPECIAL |  4, 1 Target |  Energy Ball lowers the foe’s Special Defense 1 Combat Stage on 17+. |
Move:  Forest’s Curse | GRASS | DAILY 0 | 2 | NON | STATUS |  6, 1 Target |  The target gains the Grass Type in addition to its other Types for 5 turns. |
Move:  Frenzy Plant | GRASS | DAILY 2 | 4 | DB15 | SPECIAL |  3, 5 Targets, Smite, Exhaust |  None |
Move:  Giga Drain | GRASS | SCENE 2 | 2 | DB8 | SPECIAL |  6, 1 Target |  After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target. |
Move:  Grass Knot | GRASS | EOT 0 | 2 | NON | SPECIAL |  5, 1 Target, Weight Class |  Grass Knot’s  |
Move:  Grass Pledge | GRASS | SCENE 0 | 2 | DB8 | SPECIAL |  6, 1 Target, Pledge |  If an ally uses Fire Pledge or Water Pledge, you may use Grass Pledge as Priority (Advanced) immediately after their turn to target the same foe. If used in conjunction with Fire Pledge, Fire Hazards are created in a Burst 1 around the target. If used in conjunction with Water Pledge, the target and all foes adjacent to the target are slowed and have their Speed reduced by 2 Combat Stages. Consult the Pledge keyword for additional details. |
Move:  Grass Whistle | GRASS | SCENE 2 | 6 | NON | STATUS |  6, 1 Target, Sonic |  The target falls Asleep. |
Move:  Grassy Terrain | GRASS | DAILY 2 | 0 | NON | STATUS |  Field |  The area becomes Grassy for 5 rounds. While Grassy, all Pokémon and Trainers standing on the ground recover a Tick of Hit Points at the start of every turn, and Grass-Type attacks performed by grounded Pokémon and Trainers gain a +10 bonus to Damage Rolls. |
Move:  Horn Leech | GRASS | SCENE 2 | 2 | DB8 | PHYSICAL |  Melee, 1 Target, Dash |  After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target. |
Move:  Ingrain | GRASS | SCENE 0 | 0 | NON | STATUS |  Self |  Ingrain applies a Coat to the user, which has the following effect; the user cannot be pushed or pulled, and cannot be switched out. At the beginning of each of the user’s turn, the user gains a Tick of Hit Points. |
Move:  Leaf Blade | GRASS | EOT 0 | 2 | DB9 | PHYSICAL |  Melee, Pass |  Leaf Blade is a Critical Hit on 18+. |
Move:  Leaf Storm | GRASS | SCENE 0 | 4 | DB13 | SPECIAL |  8, Ranged Blast 3, Smite, Reckless |  Lower the user’s Special Attack 2 Combat Stages after damage. |
Move:  Leaf Tornado | GRASS | EOT 0 | 4 | DB7 | SPECIAL |  6, Ranged Blast 3 |  Small or Medium targets in the central square of the blast are not hit. On 15+, all legal targets have their Accuracy lowered by -1. |
Move:  Leafage | GRASS | AW 0 | 2 | DB4 | PHYSICAL |  6, 1 Target |  None |
Move:  Leech Seed | GRASS | DAILY 2 | 4 | NON | STATUS |  6, 1 Target |  At the beginning of each of the target’s turns, Leech Seed’s target loses a Tick of Hit Points. Leech Seed’s user then gains Hit Points equal to the amount the target lost. Leech Seed lasts until the target faints, is returned to a Poké Ball, or Takes a Breather. Grass Types and targets immune to Grass Attacks are immune to Leech Seed. |
Move:  Magical Leaf | GRASS | EOT 0 | 0 | DB6 | SPECIAL |  8, 1 Target |  Magical Leaf cannot miss. |
Move:  Mega Drain | GRASS | AW 0 | 2 | DB4 | SPECIAL |  6, 1 Target |  After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target. |
Move:  Needle Arm | GRASS | AW 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target |  Needle Arm Flinches the target on 15+. |
Move:  Petal Blizzard | GRASS | EOT 0 | 2 | DB9 | PHYSICAL |  Burst 1 |  None |
Move:  Petal Dance | GRASS | SCENE 2 | 3 | DB12 | SPECIAL |  Melee, all adjacent foes, Smite, Reckless, Dance |  After damage is dealt, the user becomes Enraged and Confused. |
Move:  Power Whip | GRASS | SCENE 2 | 5 | DB12 | PHYSICAL |  8, 1 Target, Smite |  Beauty |
Move:  Razor Leaf | GRASS | AW 0 | 4 | DB6 | PHYSICAL |  Cone 2 |  Razor Leaf is a Critical Hit on 18+. |
Move:  Seed Bomb | GRASS | EOT 0 | 2 | DB8 | PHYSICAL |  8, 1 Target |  None |
Move:  Seed Flare | GRASS | SCENE 0 | 5 | DB12 | SPECIAL |  6, Ranged Blast 3 |  All Legal Targets have their Special Defense lowered 1 Combat Stage. |
Move:  Sleep Powder | GRASS | SCENE 2 | 6 | NON | STATUS |  4, 1 Target, Powder |  The target falls Asleep. |
Move:  Solar Beam | GRASS | SCENE 2 | 2 | DB12 | SPECIAL |  Line 6, Set Up |  If the weather is not Sunny, the user’s turn ends. If the weather is Sunny, immediately proceed to the Resolution Effect instead and this Move loses the Set-Up keyword. The user attacks with Solar Beam. If the weather is Rainy, Sandstorming, or Hailing, Solar Beam’s  |
Move:  Solar Blade | GRASS | SCENE 2 | 2 | DB13 | PHYSICAL |  Melee, 1 Target, Set Up |  If the weather is not Sunny, the user gains +1 CS in Attack and Special Defense, and the user’s turn ends. If the weather is Sunny, immediately proceed to the Resolution Effect instead and this Move loses the Set-Up keyword. The user attacks with Solar Blade. If the weather is Rainy, Sandstorming, or Hailing, Solar Blade’s  |
Move:  Spiky Shield | GRASS | SCENE 0 | 0 | NON | STATUS |  Self, Interrupt, Shield, Trigger |  If the user is hit by an attack, the user may use Spiky Shield. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move’s effects. In addition, if the triggering attack was Melee ranged, the attacker loses a Tick of Hit Points. |
Move:  Spore | GRASS | SCENE 0 | 0 | NON | STATUS |  4, 1 Target, Powder |  The target falls Asleep. |
Move:  Strength Sap | GRASS | DAILY 2 | 2 | NON | STATUS |  Melee, 1 Target, Healing |  The user gains Hit Points equal to the higher of the target's Attack or Special Attack; the target then loses 1 Combat Stage in that Stat. |
Move:  Stun Spore | GRASS | SCENE 2 | 6 | NON | STATUS |  6, 1 Target, Powder |  The target is Paralyzed. |
Move:  Synthesis | GRASS | DAILY 2 | 0 | NON | STATUS |  Self, Healing |  The user regains Hit Points equal to half of its full Hit Point value. If it is Sunny, the user gains 2/3 of its full Hit Point value instead. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full Hit Point value instead. |
Move:  Trop Kick | GRASS | EOT 0 | 2 | DB7 | PHYSICAL |  Melee, 1 Target |  The target receives a -5 penalty to damage rolls for 1 round. |
Move:  Vine Whip | GRASS | AW 0 | 2 | DB4 | PHYSICAL |  4, 1 Target |  Cool |
Move:  Wood Hammer | GRASS | SCENE 2 | 2 | DB12 | PHYSICAL |  Melee, 1 Target, Dash, Recoil 1/3 |  None |
Move:  Worry Seed | GRASS | SCENE 0 | 2 | NON | STATUS |  8, 1 Target |  You choose one of the target’s Abilities. Worry Seed changes that Ability to Insomnia for the remainder of the encounter. |
